# Reviewed pin decisions (2026-09-25). Each pin was LOOKED AT in a rendered crop before deciding.
# Remove when the right label is not certain; relabel only when certain. See pin_fixes.py.
# module	slice	structure	x	y	action	reason
ct-wholebody-coronal	12	skull	30.1	43.2	remove	at hip level on the pelvis/femur, not skull
ct-pelvis-axial	1	hip-bone	66.7	48.7	remove	on the sacroiliac joint line, sacrum or ilium not certain
ct-pelvis-axial	5	hip-bone	59.6	68.1	relabel:sacrum	posterior midline bone below the sacroiliac joints is the sacrum; the hip bones are the lateral iliac wings on this slice
ct-pelvis-axial	6	hip-bone	58.9	69.4	relabel:sacrum	posterior midline bone below the sacroiliac joints is the sacrum
ct-pelvis-coronal	15	sacrum	61.7	11.8	remove	on the sacroiliac joint line, sacrum or ilium not certain
ct-pelvis-sagittal	7	femur	47.0	85.7	remove	small isolated bone fragment below the femoral head, identity not certain
ct-pelvis-sagittal	10	sacrum	52.8	0.0	remove	bone cut at the top edge, identity not certain
ct-pelvis-sagittal	16	femur	62.4	87.5	remove	on the ischium (continuous with the hip bone), not femur
ct-pelvis-sagittal	16	hip-bone	62.7	48.9	remove	faint blob in soft tissue, not clearly bone
ct-pelvis-sagittal	18	femur	37.3	30.3	remove	at the hip joint line, femur or acetabulum not certain
ct-pelvis-sagittal	19	femur	35.6	30.3	remove	at the hip joint line, femur or acetabulum not certain
ct-pelvis-sagittal	19	femur	34.3	30.3	remove	at the hip joint line, femur or acetabulum not certain
ct-pelvis-sagittal	22	hip-bone	49.9	72.2	remove	isolated bone lateral to the joint (likely greater trochanter), not certain
ct-foot-sagittal	6	phalanx-foot	45.2	54.7	remove	in the midfoot among tarsal bones, not a phalanx
ct-foot-sagittal	7	phalanx-foot	44.4	60.4	remove	in the midfoot at the tarsometatarsal joints, not a phalanx
ct-foot-sagittal	7	phalanx-foot	46.3	56.7	remove	in the midfoot, not a phalanx
ct-foot-sagittal	8	phalanx-foot	39.4	59.8	remove	in the midfoot, not a phalanx
ct-foot-sagittal	8	phalanx-foot	43.6	61.6	remove	in the midfoot, not a phalanx
ct-foot-sagittal	8	phalanx-foot	46.1	56.5	remove	in the midfoot, not a phalanx
ct-foot-sagittal	9	phalanx-foot	45.3	57.3	remove	on the cuboid, not a phalanx
ct-foot-sagittal	10	phalanx-foot	40.9	53.3	remove	on the cuboid, not a phalanx
# v2 stacks (48 slices, 2026-09-25): slice numbers refer to atlas/<id>/v2
ct-live-torso-coronal	19	gluteal-muscle	23.2	63.7	remove	on the iliac bone cortex, not on muscle
ct-live-torso-sagittal	27	autochthonous-back-muscle	78.6	45.7	remove	on dark fat between the paraspinal muscles, not certainly muscle
mri-brain-axial	11	cerebral-cortex	52.3	41.3	remove	in a dark sulcus (CSF), not on cortex
mri-brain-axial	26	cerebellar-cortex	48.2	65.7	remove	in the dark fourth ventricle / cistern, not certainly cerebellar cortex
mri-brain-sagittal	2	cerebral-cortex	35.1	42.2	remove	in dark sulcal CSF near the lateral sulcus, not certainly cortex
mri-brain-sagittal	6	cerebral-cortex	38.3	72.2	remove	in a region too dark (7 T signal dropout) to confirm cortex
mri-brain-sagittal	26	caudate-nucleus	36.7	49.1	remove	inside the lateral ventricle (CSF), not caudate
# Living neck (s0021) and thorax-neck (s0897), 2026-09-25: 46 pin_scan flags plus edge-slice spot checks, each crop LOOKED at.
# Kept after looking: clavicle and sternum pins in the marrow cavity (neck axial 20, 30, 31x2, 40, 46; neck coronal 8x2, 9x2, 10) and the retrocardiac oesophagus (thorax-neck sagittal 24).
ct-live-neck-axial	21	thoracic-vertebra	67.3	47.7	remove	small separate bone lateral to T1: transverse process or first rib head, not certain
ct-live-neck-axial	30	subclavian-artery	84.8	39.4	remove	grey soft tissue above the right apex, no vessel visible under the pin
ct-live-neck-axial	46	upper-lobe-right	97.5	60.0	remove	sliver of lung at the lateral image edge; lobe not certain at the heart level
ct-live-neck-axial	47	lower-lobe-right	65.2	51.7	remove	on a hilar vessel, not aerated lung
ct-live-neck-axial	48	upper-lobe-right	97.0	41.8	remove	sliver of lung at the lateral image edge; lobe not certain at the heart level
ct-live-neck-axial	48	upper-lobe-right	97.8	43.7	remove	sliver of lung at the lateral image edge; lobe not certain at the heart level
ct-live-neck-coronal	11	common-carotid-artery	41.8	40.8	remove	grey soft tissue, no vessel visible under the pin
ct-live-neck-coronal	18	aorta	43.5	98.0	remove	at the bottom edge of the image beside the heart; not certainly aorta
ct-live-neck-coronal	20	clavicle	94.9	53.7	remove	lateral bone at the image edge: clavicle or acromion not certain
